Name,Type,Minimum,Maximum,Length,Direction
gene=rlmB,gene=rlmB,4417430,4418161,732,forward
gene=rnr,gene=rnr,4414809,4417250,2442,forward
gene=nsrR,gene=nsrR,4414345,4414770,426,forward
gene=purA,gene=purA,4412842,4414140,1299,forward
gene=yjeT,gene=yjeT,4412541,4412738,198,forward
gene=hflC,gene=hflC,4411455,4412459,1005,forward
gene=hflK,gene=hflK,4410193,4411452,1260,forward
gene=hflX,gene=hflX,4408827,4410107,1281,forward
gene=hfq,gene=hfq,4408443,4408751,309,forward
gene=miaA,gene=miaA,4407407,4408357,951,forward
gene=mutL,gene=mutL,4405567,4407414,1848,forward
gene=amiB,gene=amiB,4404220,4405557,1338,forward
gene=tsaE,gene=tsaE,4403740,4404201,462,forward
gene=nnr,gene=nnr,4402221,4403768,1548,forward
gene=queG,gene=queG,4401083,4402222,1140,reverse
gene=yjeV,gene=yjeV,4401047,4401100,54,forward
gene=orn,gene=orn,4399759,4400304,546,forward
gene=rsgA,gene=rsgA,4398612,4399664,1053,reverse
gene=psd,gene=psd,4397547,4398515,969,reverse
gene=mscM,gene=mscM,4394202,4397525,3324,reverse
gene=yjeO,gene=yjeO,4393859,4394173,315,forward
gene=yjeN,gene=yjeN,4393548,4393862,315,forward
gene=yjeM,gene=yjeM,4391994,4393496,1503,forward
gene=epmA,gene=epmA,4390798,4391775,978,forward
gene=frdA,gene=frdA,4388665,4390473,1809,reverse
gene=frdB,gene=frdB,4387938,4388672,735,reverse
gene=frdC,gene=frdC,4387532,4387927,396,reverse
gene=frdD,gene=frdD,4387162,4387521,360,reverse
gene=ampC,gene=ampC,4385966,4387099,1134,reverse
gene=blc,gene=blc,4385344,4385877,534,reverse
gene=sugE,gene=sugE,4385030,4385347,318,forward
gene=ecnB,gene=ecnB,4384708,4384854,147,forward
gene=ecnA,gene=ecnA,4384472,4384597,126,forward
gene=efp,gene=efp,4383854,4384420,567,forward
gene=epmB,gene=epmB,4382784,4383812,1029,reverse
gene=yjeJ,gene=yjeJ,4381520,4382389,870,reverse
gene=yjeI,gene=yjeI,4380964,4381317,354,forward
gene=groL,gene=groL,4379180,4380826,1647,forward
gene=groS,gene=groS,4378843,4379136,294,forward
gene=yjeH,gene=yjeH,4377311,4378567,1257,reverse
gene=fxsA,gene=fxsA,4376819,4377295,477,forward
gene=aspA,gene=aspA,4375046,4376482,1437,reverse
gene=dcuA,gene=dcuA,4373627,4374928,1302,reverse
gene=cutA,gene=cutA,4373173,4373511,339,reverse
gene=dsbD,gene=dsbD,4371500,4373197,1698,reverse
gene=yjdC,gene=yjdC,4370888,4371463,576,reverse
gene=cadC,gene=cadC,4368551,4370089,1539,reverse
gene=cadB,gene=cadB,4366852,4368186,1335,reverse
gene=cadA,gene=cadA,4364625,4366772,2148,reverse
gene=dtpC,gene=dtpC,4363109,4364566,1458,reverse
gene=lysU,gene=lysU,4361355,4362872,1518,reverse
gene=ghoT,gene=ghoT,4361063,4361236,174,forward
gene=ghoS,gene=ghoS,4360739,4361035,297,forward
gene=yjdJ,gene=yjdJ,4360240,4360512,273,forward
gene=yjdI,gene=yjdI,4359998,4360228,231,forward
gene=dcuS,gene=dcuS,4358186,4359817,1632,reverse
gene=dcuR,gene=dcuR,4357470,4358189,720,reverse
gene=dcuB,gene=dcuB,4355559,4356899,1341,reverse
gene=fumB,gene=fumB,4353835,4355481,1647,reverse
gene=yjdF,gene=yjdF,4353084,4353713,630,reverse
gene=melB,gene=melB,4351524,4352945,1422,forward
gene=melA,gene=melA,4350066,4351421,1356,forward
gene=melR,gene=melR,4348875,4349783,909,reverse
gene=adiA,gene=adiA,4346409,4348676,2268,reverse
gene=adiY,gene=adiY,4345323,4346084,762,reverse
gene=adiC,gene=adiC,4343849,4345186,1338,reverse
gene=eptA,gene=eptA,4342102,4343745,1644,reverse
gene=basR,gene=basR,4341437,4342105,669,reverse
gene=basS,gene=basS,4340336,4341427,1092,reverse
gene=pmrR,gene=pmrR,4340271,4340360,90,forward
gene=proP,gene=proP,4338657,4340159,1503,forward
gene=yjcZ,gene=yjcZ,4337515,4338393,879,forward
gene=crfC,gene=crfC,4335290,4337518,2229,forward
gene=yjdM,gene=yjdM,4334554,4334889,336,reverse
gene=yjdN,gene=yjdN,4333453,4333896,444,reverse
gene=phnC,gene=phnC,4332532,4333320,789,reverse
gene=phnD,gene=phnD,4331491,4332507,1017,reverse
gene=phnF,gene=phnF,4329852,4330577,726,reverse
gene=phnG,gene=phnG,4329399,4329851,453,reverse
gene=phnH,gene=phnH,4328818,4329402,585,reverse
gene=phnI,gene=phnI,4327754,4328818,1065,reverse
gene=phnJ,gene=phnJ,4326916,4327761,846,reverse
gene=phnK,gene=phnK,4326161,4326919,759,reverse
gene=phnL,gene=phnL,4325370,4326050,681,reverse
gene=phnM,gene=phnM,4324237,4325373,1137,reverse
gene=phnN,gene=phnN,4323680,4324237,558,reverse
gene=phnO,gene=phnO,4323259,4323693,435,reverse
gene=phnP,gene=phnP,4322499,4323257,759,reverse
gene=yjdP,gene=yjdP,4322023,4322352,330,forward
gene=rpiB,gene=rpiB,4321505,4321954,450,forward
gene=alsR,gene=alsR,4320256,4321146,891,reverse
gene=alsB,gene=alsB,4319262,4320197,936,reverse
gene=alsA,gene=alsA,4317603,4319135,1533,reverse
gene=alsC,gene=alsC,4316644,4317624,981,reverse
gene=alsE,gene=alsE,4315938,4316633,696,reverse
gene=alsK,gene=alsK,4315025,4315954,930,reverse
gene=yjcS,gene=yjcS,4312767,4314752,1986,reverse
gene=ytcA,gene=ytcA,4312283,4312558,276,reverse
gene=mdtN,gene=mdtN,4311233,4312264,1032,reverse
gene=mdtO,gene=mdtO,4309182,4311233,2052,reverse
gene=mdtP,gene=mdtP,4307719,4309185,1467,reverse
gene=fdhF,gene=fdhF,4305374,4307521,2148,reverse
gene=yjcO,gene=yjcO,4304591,4305280,690,reverse
gene=gltP,gene=gltP,4302636,4303949,1314,forward
gene=nrfG,gene=nrfG,4301698,4302294,597,forward
gene=nrfF,gene=nrfF,4301318,4301701,384,forward
gene=nrfE,gene=nrfE,4299667,4301325,1659,forward
gene=nrfD,gene=nrfD,4298631,4299587,957,forward
gene=nrfC,gene=nrfC,4297963,4298634,672,forward
gene=nrfB,gene=nrfB,4297400,4297966,567,forward
gene=nrfA,gene=nrfA,4295919,4297355,1437,forward
gene=acs,gene=acs,4293568,4295526,1959,reverse
gene=yjcH,gene=yjcH,4293054,4293368,315,reverse
gene=actP,gene=actP,4291408,4293057,1650,reverse
gene=yjcF,gene=yjcF,4289938,4291230,1293,reverse
gene=yjcE,gene=yjcE,4288135,4289784,1650,forward
gene=ghxP,gene=ghxP,4286634,4287983,1350,forward
gene=soxR,gene=soxR,4285624,4286088,465,forward
gene=soxS,gene=soxS,4285215,4285538,324,reverse
gene=yjcC,gene=yjcC,4283626,4285212,1587,forward
gene=yjcB,gene=yjcB,4282915,4283196,282,reverse
gene=ssb,gene=ssb,4282280,4282816,537,forward
gene=uvrA,gene=uvrA,4279204,4282026,2823,reverse
gene=yjbR,gene=yjbR,4278813,4279169,357,forward
gene=yjbQ,gene=yjbQ,4278393,4278809,417,forward
gene=aphA,gene=aphA,4277569,4278282,714,forward
gene=yjbS,gene=yjbS,4276964,4277167,204,reverse
gene=tyrB,gene=tyrB,4275269,4276462,1194,forward
gene=alr,gene=alr,4273937,4275016,1080,forward
gene=dnaB,gene=dnaB,4272469,4273884,1416,forward
gene=qorA,gene=qorA,4271403,4272386,984,reverse
gene=pspG,gene=pspG,4270995,4271237,243,forward
gene=dusA,gene=dusA,4269824,4270861,1038,forward
gene=yjbM,gene=yjbM,4268754,4269461,708,forward
gene=yjbL,gene=yjbL,4268476,4268730,255,forward
gene=zur,gene=zur,4267643,4268158,516,reverse
gene=yjbJ,gene=yjbJ,4267392,4267601,210,forward
gene=dinF,gene=dinF,4265897,4267276,1380,forward
gene=lexA,gene=lexA,4265270,4265878,609,forward
gene=dgkA,gene=dgkA,4264792,4265160,369,forward
gene=plsB,gene=plsB,4262198,4264621,2424,reverse
gene=ubiA,gene=ubiA,4261171,4262043,873,forward
gene=ubiC,gene=ubiC,4260661,4261158,498,forward
gene=malM,gene=malM,4257709,4258629,921,forward
gene=lamB,gene=lamB,4256126,4257466,1341,forward
gene=malK,gene=malK,4254939,4256054,1116,forward
gene=malE,gene=malE,4253384,4254574,1191,reverse
gene=malF,gene=malF,4251686,4253230,1545,reverse
gene=malG,gene=malG,4250781,4251671,891,reverse
gene=xylE,gene=xylE,4248934,4250409,1476,reverse
gene=psiE,gene=psiE,4248480,4248890,411,forward
gene=yjbT,gene=yjbT,4247932,4248210,279,reverse
gene=yjbH,gene=yjbH,4245789,4247885,2097,forward
gene=yjbG,gene=yjbG,4245052,4245789,738,forward
gene=yjbF,gene=yjbF,4244417,4245055,639,forward
gene=yjbE,gene=yjbE,4244061,4244303,243,forward
gene=pgi,gene=pgi,4241913,4243562,1650,forward
gene=lysC,gene=lysC,4240039,4241388,1350,reverse
gene=yjbD,gene=yjbD,4239514,4239786,273,reverse
gene=rluF,gene=rluF,4238509,4239381,873,forward
gene=pepE,gene=pepE,4237608,4238297,690,reverse
gene=yjbB,gene=yjbB,4235886,4237517,1632,forward
gene=metH,gene=metH,4231983,4235666,3684,forward
gene=iclR,gene=iclR,4230959,4231783,825,reverse
gene=arpA,gene=arpA,4228456,4230642,2187,reverse
gene=aceK,gene=aceK,4226751,4228487,1737,forward
gene=aceA,gene=aceA,4225264,4226568,1305,forward
gene=aceB,gene=aceB,4223633,4225234,1602,forward
gene=metA,gene=metA,4222435,4223364,930,forward
gene=yjaB,gene=yjaB,4221835,4222278,444,reverse
gene=yjaA,gene=yjaA,4221389,4221772,384,forward
gene=purH,gene=purH,4214098,4215687,1590,reverse
gene=purD,gene=purD,4212797,4214086,1290,reverse
gene=zraR,gene=zraR,4211475,4212800,1326,forward
gene=zraS,gene=zraS,4210081,4211478,1398,forward
gene=zraP,gene=zraP,4209418,4209843,426,reverse
gene=yjaH,gene=yjaH,4208721,4209416,696,forward
gene=hupA,gene=hupA,4208436,4208708,273,forward
gene=yjaG,gene=yjaG,4207659,4208249,591,forward
gene=nfi,gene=nfi,4206945,4207616,672,forward
gene=hemE,gene=hemE,4205871,4206935,1065,forward
gene=nudC,gene=nudC,4205058,4205831,774,forward
gene=rsd_Part2,gene=rsd_Part2,4204692,4204963,272,reverse
gene=DT54NSNS_1_Part_terminator,gene=DT54NSNS_1_Part_terminator,4204580,4204691,112,reverse
gene=R6K_1_Part_origin,gene=R6K_1_Part_origin,4203946,4204395,450,forward
gene=KanR,gene=KanR_Part_resistance_maker,4203014,4203829,816,forward
gene=pTac_Min_Part_promoter,gene=pTac_Min_Part_promoter,4202672,4202727,56,reverse
gene=ElvJ_Part_ribozyme,gene=ElvJ_Part_ribozyme,4202594,4202671,78,reverse
gene=Circuit_IcaR,gene=Circuit_IcaR,4201997,4202557,561,reverse
gene=DT5_Part_terminator,gene=DT5_Part_terminator,4201887,4201996,110,reverse
gene=pBad_Min_Part_promoter,gene=pBad_Min_Part_promoter,4201794,4201871,78,reverse
gene=RiboJ53_Part_ribozyme,gene=RiboJ53_Part_ribozyme,4201719,4201793,75,reverse
gene=Circuit_PhlF,gene=Circuit_PhlF,4201098,4201700,603,reverse
gene=RETO_Part_terminator,gene=RETO_Part_terminator,4200917,4201034,118,forward
gene=rsd_Part1,gene=rsd_Part1,4200712,4200916,205,reverse
gene=thiC,gene=thiC,4198584,4200479,1896,reverse
gene=thiE,gene=thiE,4197949,4198584,636,reverse
gene=thiF,gene=thiF,4197201,4197956,756,reverse
gene=thiS,gene=thiS,4197017,4197217,201,reverse
gene=thiG,gene=thiG,4196245,4197015,771,reverse
gene=thiH,gene=thiH,4195115,4196248,1134,reverse
gene=yjaZ,gene=yjaZ,4194166,4194705,540,forward
gene=rpoC,gene=rpoC,4189730,4193953,4224,forward
gene=rpoB,gene=rpoB,4185625,4189653,4029,forward
gene=rplL,gene=rplL,4184940,4185305,366,forward
gene=rplJ,gene=rplJ,4184376,4184873,498,forward
gene=rplA,gene=rplA,4183259,4183963,705,forward
gene=rplK,gene=rplK,4182827,4183255,429,forward
gene=nusG,gene=nusG,4182123,4182668,546,forward
gene=secE,gene=secE,4181738,4182121,384,forward
gene=tufB,gene=tufB,4180324,4181508,1185,forward
gene=coaA,gene=coaA,4178456,4179406,951,reverse
gene=birA,gene=birA,4177462,4178427,966,forward
gene=murB,gene=murB,4176437,4177465,1029,forward
gene=murI,gene=murI,4169808,4170665,858,forward
gene=btuB,gene=btuB,4168019,4169863,1845,forward
gene=trmA,gene=trmA,4166550,4167650,1101,reverse
gene=yijD,gene=yijD,4166151,4166510,360,forward
gene=fabR,gene=fabR,4165504,4166151,648,forward
gene=sthA,gene=sthA,4163770,4165170,1401,reverse
gene=oxyR,gene=oxyR,4162870,4163787,918,forward
gene=argH,gene=argH,4161230,4162603,1374,forward
gene=argB,gene=argB,4160393,4161169,777,forward
gene=argC,gene=argC,4159381,4160385,1005,forward
gene=argE,gene=argE,4158076,4159227,1152,reverse
gene=ppc,gene=ppc,4154827,4157478,2652,reverse
gene=eptC,gene=eptC,4152912,4154645,1734,reverse
gene=yijO,gene=yijO,4151846,4152697,852,reverse
gene=frwD,gene=frwD,4151518,4151859,342,forward
gene=pflC,gene=pflC,4150638,4151516,879,forward
gene=pflD,gene=pflD,4148375,4150672,2298,forward
gene=frwB,gene=frwB,4148004,4148324,321,forward
gene=frwC,gene=frwC,4146910,4147989,1080,forward
gene=frwA,gene=frwA,4144100,4146601,2502,reverse
gene=fsaB,gene=fsaB,4143426,4144088,663,reverse
gene=gldA,gene=gldA,4142312,4143415,1104,reverse
gene=yijF,gene=yijF,4141420,4142037,618,reverse
gene=yijE,gene=yijE,4140488,4141393,906,forward
gene=katG,gene=katG,4138215,4140395,2181,forward
gene=metF,gene=metF,4136996,4137886,891,forward
gene=metL,gene=metL,4134215,4136647,2433,forward
gene=metB,gene=metB,4133052,4134212,1161,forward
gene=metJ,gene=metJ,4132458,4132775,318,reverse
gene=yiiX,gene=yiiX,4131666,4132274,609,reverse
gene=rpmE,gene=rpmE,4131393,4131605,213,forward
gene=priA,gene=priA,4128992,4131190,2199,reverse
gene=cytR,gene=cytR,4127811,4128836,1026,reverse
gene=ftsN,gene=ftsN,4126760,4127719,960,reverse
gene=hslV,gene=hslV,4126137,4126667,531,reverse
gene=hslU,gene=hslU,4124796,4126127,1332,reverse
gene=menA,gene=menA,4123803,4124729,927,reverse
gene=rraA,gene=rraA,4123225,4123710,486,reverse
gene=zapB,gene=zapB,4122895,4123140,246,forward
gene=glpF,gene=glpF,4121625,4122470,846,reverse
gene=glpK,gene=glpK,4120094,4121602,1509,reverse
gene=glpX,gene=glpX,4118949,4119959,1011,reverse
gene=fpr,gene=fpr,4118106,4118852,747,reverse
gene=uspD,gene=uspD,4117673,4118101,429,forward
gene=yiiS,gene=yiiS,4117347,4117646,300,forward
gene=yiiR,gene=yiiR,4116695,4117135,441,forward
gene=yiiQ,gene=yiiQ,4115995,4116594,600,reverse
