# Genes chosen to maximize surprise centrality in comparison of rho0 vs. wt2 or wt37 vs. wt2
# Data taken from de_dchip_20180626_annot.tsv
# Run by Jed Singer, 8/9/2018
probe	sgd_id	sys_name	symbol	coefficients.rho0.wt	coefficients.rho0.wt37d	coefficients.wt.wt37d	df.residual	sigma	stdev.unscaled.rho0.wt	stdev.unscaled.rho0.wt37d	stdev.unscaled.wt.wt37d	Amean	s2.post	t.rho0.wt	t.rho0.wt37d	t.wt.wt37d	df.total	p.value.rho0.wt	p.value.rho0.wt37d	p.value.wt.wt37d	lods.rho0.wt	lods.rho0.wt37d	lods.wt.wt37d	F	F.p.value	avg_rho0	avg_wt	avg_wt37d	sd_rho0	sd_wt	sd_wt37d	rho0-wt_logFC	rho0-wt37d_logFC	wt-wt37d_logFC
1774756_at	S000004566	YML100W	TSL1	1086.107694	-3240.237627	-4326.345321	64	2214.3979	0.280691786	0.334845057	0.316227766	2824.721003	4813595.423	1.763633719	-4.410605108	-6.235716875	65.20032686	0.082478632	3.95E-05	3.75E-08	-4.583188141	-4.535553593	-4.483619309	19.63660903	2.11E-07	2585.611547	1499.503852	5825.849174	1037.955004	2655.034644	2489.63987	1086.107694	-3240.237627	-4326.345321
1775364_at	S000000615	YCR021C	HSP30	22.28564197	-3653.121965	-3675.407607	64	1269.460907	0.280691786	0.334845057	0.316227766	1137.169465	1582174.011	0.063120194	-8.673475512	-9.240136494	65.20032686	0.949863906	1.82E-12	1.82E-13	-4.601070093	-4.450470007	-4.423288591	49.44621083	8.56E-14	329.284984	306.9993421	3982.406949	79.21219906	63.39341627	2710.952317	22.28564197	-3653.121965	-3675.407607
1775976_at	S000001949	YFR053C	HXK1	2544.277415	-3184.234915	-5728.51233	64	1955.554792	0.280691786	0.334845057	0.316227766	3606.61851	3754102.803	4.678231168	-4.908040383	-9.349508302	65.20032686	1.51E-05	6.46E-06	1.17E-13	-4.502144122	-4.524444871	-4.421487648	44.49963148	6.50E-13	4032.958789	1488.681375	7217.193705	1727.834749	1755.443205	2573.060086	2544.277415	-3184.234915	-5728.51233
1776285_at	S000005875	YOR348C	PUT4	-1662.825736	-296.463746	1366.36199	64	1049.949457	0.280691786	0.334845057	0.316227766	1020.677398	1082410.007	-5.694048135	-0.85100439	4.153075944	65.20032686	3.20E-07	0.397881563	9.73E-05	-4.470265444	-4.596279657	-4.534806081	18.57396329	4.13E-07	209.7560802	1872.581816	506.2198262	71.50631317	1539.978499	345.5173573	-1662.825736	-296.463746	1366.36199
1776528_at	S000002179	YDL021W	GPM2	1196.371358	-496.6479055	-1693.019264	64	426.2441678	0.280691786	0.334845057	0.316227766	1018.843156	178650.345	10.08403568	-3.5091569	-12.66659749	65.20032686	6.17E-15	0.000820278	3.07E-19	-4.360673173	-4.555252469	-4.378289694	96.74112101	3.08E-20	1443.341994	246.9706357	1939.9899	598.9015827	244.4197181	410.8308322	1196.371358	-496.6479055	-1693.019264
1776774_at	S000006323	YPR119W	CLB2	-1106.087227	-520.4854828	585.6017439	64	562.4567244	0.280691786	0.334845057	0.316227766	786.2232006	310844.5056	-7.067862229	-2.788002322	3.321473285	65.20032686	1.30E-09	0.006942159	0.001470272	-4.430105484	-4.569780923	-4.554862694	25.23649925	7.64E-09	174.4336626	1280.520889	694.9191454	21.96511892	813.331505	274.2543798	-1106.087227	-520.4854828	585.6017439
1777569_at	S000000276	YBR072W	HSP26	776.7583695	-3329.329966	-4106.088336	64	1650.685572	0.280691786	0.334845057	0.316227766	1647.663298	2674911.467	1.692004568	-6.079365315	-7.939142223	65.20032686	0.095419475	7.00E-08	3.67E-11	-4.584553495	-4.498873292	-4.446841269	32.4827616	1.63E-10	1250.093173	473.3348034	4579.423139	489.7056877	254.4515725	3458.645023	776.7583695	-3329.329966	-4106.088336
1777753_at	S000000869	YER067W	RGI1	383.6823789	-4409.895901	-4793.57828	64	1395.932074	0.280691786	0.334845057	0.316227766	1581.407216	1913063.506	0.988274197	-9.521815281	-10.95961077	65.20032686	0.326671812	5.85E-14	1.97E-16	-4.595291304	-4.437662387	-4.397942777	65.74984689	2.33E-16	765.9151691	382.2327903	5175.81107	230.5138908	360.0448811	2925.709681	383.6823789	-4409.895901	-4793.57828
1777928_at	S000003693	YJL157C	FAR1	-1227.250742	-793.7450313	433.5057108	64	467.5156026	0.280691786	0.334845057	0.316227766	1067.819097	214858.0143	-9.432521862	-5.11400736	2.957461122	65.20032686	8.38E-14	2.98E-06	0.004316664	-4.373430713	-4.519859723	-4.563081999	44.68528315	6.01E-13	340.5997283	1567.85047	1134.34476	350.1896636	558.1808636	412.12294	-1227.250742	-793.7450313	433.5057108
1778218_at	S000004319	YLR327C	TMA10	1196.421804	-2169.511062	-3365.932866	64	1638.044885	0.280691786	0.334845057	0.316227766	1572.441584	2634104.985	2.626262151	-3.992100231	-6.558264219	65.20032686	0.010747354	0.000168718	1.03E-08	-4.563462318	-4.544824872	-4.476174182	21.52095864	6.66E-08	1622.441407	426.0196037	3791.95247	645.5330684	711.3533843	3254.651283	1196.421804	-2169.511062	-3365.932866
1779615_at	S000000296	YBR092C	PHO3	-2449.732224	-2664.625156	-214.8929321	64	1187.723616	0.280691786	0.334845057	0.316227766	2502.93313	1385027.901	-7.415828024	-6.76181011	-0.577421393	65.20032686	3.13E-10	4.50E-09	0.565643505	-4.420722205	-4.484848493	-4.598252865	34.0778715	7.40E-11	809.4802335	3259.212458	3474.10539	639.0414473	1175.551819	1724.454346	-2449.732224	-2664.625156	-214.8929321
1779754_at	S000001880	YFL014W	HSP12	-692.8887407	-9226.623033	-8533.734293	64	4625.042445	0.280691786	0.334845057	0.316227766	6386.006538	20997523.67	-0.538703454	-6.013327337	-5.889183366	65.20032686	0.591926079	9.10E-08	1.49E-07	-4.599351967	-4.500271561	-4.49182991	21.74422399	5.82E-08	4010.095975	4702.984716	13236.71901	1802.596862	6221.866569	3567.227602	-692.8887407	-9226.623033	-8533.734293
1779850_at	S000006364	YPR160W	GPH1	317.5898295	-1655.646176	-1973.236006	64	864.5023596	0.280691786	0.334845057	0.316227766	899.084308	733916.5077	1.320728513	-5.771654295	-7.283761274	65.20032686	0.191208972	2.36E-07	5.37E-10	-4.590848665	-4.505442557	-4.460221498	27.69135533	1.97E-09	670.6216549	353.0318254	2326.267831	308.4091933	418.2919465	1706.286692	317.5898295	-1655.646176	-1973.236006
